date,Technology,Financials,Healthcare,Energy,ConsumerDiscret,ConsumerStaples,Industrials,Materials,Utilities,RealEstate,Communication,SP500,NASDAQ,DowJones,VIX,TBond10Y,SP500_return,NASDAQ_return,DowJones_return,VIX_return,TBond10Y_return,year,month,weekday,crisis_dotcom,crisis_gfc,crisis_covid,crisis_rate_hike
2000-01-03,,,,,,,,,,,,11357.509765625,1455.219970703125,4131.14990234375,6.547999858856201,24.209999084472656,,,,,,2000,1,0,0,0,0,0
2000-01-04,-0.056507074677960345,-0.047965503991853155,-0.03680561114876835,-0.009756011865477948,-0.04665932153605444,-0.02489122127152979,-0.01639216790028326,-0.030070537963612438,0.010591158556529867,-0.010007775792843024,-0.026781330330225533,10997.9296875,1399.4200439453125,3901.68994140625,6.485000133514404,27.010000228881836,-0.0316601161297978,-0.03834466807849768,-0.055543847684471404,-0.009621216661541254,0.1156547397891059,2000,1,1,0,0,0,0
2000-01-05,-0.005337549946817821,-0.009917776088651808,0.009792503182494817,0.002780571990672581,-0.00771996747615443,-0.01176412438855004,0.01748612969166541,0.029038561889813536,0.037024593596128266,0.005480478955174062,0.01610818557252719,11122.650390625,1402.1099853515625,3877.5400390625,6.598999977111816,26.40999984741211,0.011340380114154947,0.0019221829913671495,-0.006189600584982857,0.017579004047858504,-0.022214008751771375,2000,1,2,0,0,0,0
2000-01-06,-0.04015619322744503,0.04149717109403517,0.02236326131980435,0.04748679060209929,-0.017423650826115106,0.019411024390005693,0.03164054876185503,0.02716544751103711,0.0028553441740013508,0.011605115806208557,-0.006432186484510216,11253.259765625,1403.449951171875,3727.1298828125,6.548999786376953,25.729999542236328,0.01174264859660501,0.0009556781096431433,-0.038790097519242006,-0.007576934521637435,-0.025747834498469846,2000,1,3,0,0,0,0
2000-01-07,0.03415175019758928,0.008738037180599767,0.0639293476553874,0.012611567111069574,0.03599849567777036,0.049830223355499276,0.023624237623951005,0.0049599168744762535,0.010769762247317205,0.030554046302884386,-0.011512505259446415,11522.5595703125,1441.469970703125,3882.6201171875,6.504000186920166,21.719999313354492,0.023930826293561802,0.027090399268961063,0.04171849097398961,-0.006871217120879125,-0.1558492149329166,2000,1,4,0,0,0,0
2000-01-10,0.047271856239540014,-0.004872122800654299,-0.01345520794470788,-0.01264859606561404,0.005806237814229204,-0.006921219074227686,-0.009651694773809338,-0.007701474967974119,0.0025644748768323344,0.02624121031936416,0.07244482105151209,11572.2001953125,1457.5999755859375,4049.669921875,6.558000087738037,21.709999084472656,0.004308124830866289,0.011189969413615053,0.043025019096771144,0.008302567537815664,-0.00046041570893085026,2000,1,0,0,0,0,0
2000-01-11,-0.023950360774628143,-0.008053216476783254,-0.004782206544733775,0.009982618876873864,-0.005565007876698877,0.005831902113376156,-0.014288421345285397,0.0030926829496000785,-0.003965478505297415,-0.000582294460486521,-0.026091264265044406,11511.080078125,1438.56005859375,3921.18994140625,6.664000034332275,22.5,-0.005281633237926298,-0.013062511876438365,-0.03172603766414217,0.016163456111022878,0.03638880464496963,2000,1,1,0,0,0,0
2000-01-12,-0.0158858119867503,0.020384637376391325,-0.005645806798853823,-0.014643226237548018,-0.004922411163603466,-0.0023321016939895634,0.015015198431605602,-0.007896501837338908,0.011649374593300866,0.002474863817796366,-0.02912803778659609,11551.099609375,1432.25,3850.02001953125,6.696000099182129,22.84000015258789,0.003476609577762524,-0.004386371327394056,-0.018150082739801232,0.004801930474938931,0.015111117892795178,2000,1,2,0,0,0,0
2000-01-13,0.02655963781250551,0.026341953919244487,0.010864764953565649,0.017002753540934695,0.016212130967659347,-0.002807168963685311,0.00521549200534358,0.0013083636637113674,-0.001289244968946035,-0.006828372533937976,0.014593862568768268,11582.4296875,1449.6800537109375,3957.2099609375,6.618000030517578,21.709999084472656,0.0027123026538158346,0.012169700618563484,0.02784139845052036,-0.01164875560173273,-0.04947465238905435,2000,1,3,0,0,0,0
2000-01-14,0.03997937616507373,0.029753576481163214,0.005720006772304097,-0.0006082663835794699,-0.0010486190345398022,-0.002678173063406994,0.0009699279613279543,-0.011757043470004244,-0.005575117180192368,-0.0018939754521652419,0.007234741955383234,11722.98046875,1465.1500244140625,4064.27001953125,6.673999786376953,19.65999984741211,0.012134827064971043,0.010671299962722536,0.02705442967407934,0.008461733998359477,-0.09442650039201239,2000,1,4,0,0,0,0
2000-01-18,0.012545184783774832,-0.018912179404920727,-0.02564467493365816,0.03453287545742789,-0.008085056718200548,0.016769033485544996,-0.014579282940339744,-0.00515925921655205,-0.021917601635140217,0.005302214362606902,0.01099566640934413,11560.7197265625,1455.1400146484375,4130.81005859375,6.748000144958496,21.5,-0.013841253307555923,-0.00683207152771137,0.016371953325624355,0.011087857499275433,0.09359105630054687,2000,1,1,0,0,0,0
2000-01-19,0.0036833583123178303,-0.00025838008817554716,-0.002447190928044549,0.001479360494406945,0.014227483732507679,-0.0039587163900806355,-0.0008316087875784639,-0.00275983769943026,0.01366277966573859,0.005798655454902185,0.008746808399430067,11489.3603515625,1455.9000244140625,4151.2900390625,6.724999904632568,21.719999313354492,-0.0061725720100316295,0.0005222932212531894,0.004957860608028497,-0.0034084528500064604,0.010232526202534453,2000,1,2,0,0,0,0
2000-01-20,0.012964996674466068,-0.016181472896917525,-0.005597794437462099,-0.012508057976480164,-0.022450953942338342,-0.008326332414208937,-0.020667261785532187,-0.03421912748248766,-0.0028318009071492734,0.003582249820898581,-0.012178008431159348,11351.2998046875,1445.5699462890625,4189.509765625,6.748000144958496,21.75,-0.01201638234422897,-0.007095321074094607,0.009206710733979717,0.0034201101341404527,0.0013812471267926618,2000,1,3,0,0,0,0
2000-01-21,-0.0025069807735069393,-0.012563554207761196,-0.024120630191008963,0.007648018891251565,-0.031738407031958085,-0.018022376306423518,-0.00726809896455668,-0.014433416995898951,0.015673264210021864,0.01227955328326634,0.014166375394620567,11251.7099609375,1441.3599853515625,4235.39990234375,6.781000137329102,20.81999969482422,-0.008773430837310303,-0.0029123190810015354,0.01095358151335013,0.004890336642221271,-0.04275863472072561,2000,1,4,0,0,0,0
2000-01-24,-0.043557203611929315,-0.018013557218693844,-0.03968146494383366,-0.029531923720427414,0.0003390652298240482,-0.02158715173963567,-0.03217791501258267,-0.0017950309816786457,-0.0014378615645097236,0.007303044713795934,-0.00692763790557685,11008.169921875,1401.530029296875,4096.080078125,6.684000015258789,24.06999969482422,-0.021644713550917793,-0.027633593591799732,-0.032894136901135185,-0.01430469253883826,0.15609990622660486,2000,1,0,0,0,0,0
2000-01-25,0.039129684939301315,0.021155189577123323,0.0135852662686077,-0.010117327866287454,-0.0005918715588837109,-0.0069206842933185325,-0.011668625213891082,-0.023274770265180197,-0.012478188430754133,-0.004067150374576847,-0.0017330686494532455,11029.8896484375,1410.030029296875,4167.41015625,6.684000015258789,23.020000457763672,0.001973055168719595,0.006064800483985611,0.017414229400918302,0.0,-0.043622735786171596,2000,1,1,0,0,0,0
2000-01-26,-0.0481955664845808,0.03182984120019152,0.013928578419995471,0.0027272418958111666,0.0001977969913855293,0.0026144318269879924,0.01638682656562922,-0.0024561376909563912,0.006895637230753993,-0.004490093281090457,-0.00425049694092916,11032.990234375,1404.0899658203125,4069.909912109375,6.679999828338623,23.030000686645508,0.0002811076118010014,-0.00421272125638672,-0.023395883890718228,-0.0005984720094306395,0.0004344147994341796,2000,1,2,0,0,0,0
2000-01-27,-0.01695402879836838,0.01871374198145248,0.01013272666284109,-0.02150981664489282,0.00771653022042644,-0.016008668245866414,-0.013323406028087936,0.02409574307662264,0.006814626101894539,-0.006029880067751639,-0.0006722900896320716,11028.01953125,1398.56005859375,4039.56005859375,6.684999942779541,23.540000915527344,-0.00045053090951829855,-0.00393842799334565,-0.007457131526504734,0.0007485201451211676,0.022145037502216525,2000,1,3,0,0,0,0
2000-01-28,-0.045727808791641324,-0.03305932936280578,0.017297039322020844,-0.020722393451545723,-0.027106430900519396,-0.0323511075356189,-0.025538329118658876,-0.030654299109223373,-0.01025586258591884,-0.005958196204028085,-0.022732833113020462,10738.8701171875,1360.1600341796875,3887.070068359375,6.6479997634887695,26.139999389648438,-0.02621952321023191,-0.027456829027902918,-0.037749157834642943,-0.005534806224005373,0.11045022824982542,2000,1,4,0,0,0,0
2000-01-31,0.03517758773538262,0.04259340733787673,0.027356887525497624,0.022259424325367497,0.022723584075732578,0.02033416084953517,-0.007330892638019004,-0.0018414794468108885,0.016111265834426645,-0.017894321870125074,0.03954922435981706,10940.5302734375,1394.4599609375,3940.35009765625,6.666999816894531,24.950000762939453,0.018778526423114394,0.025217566974388372,0.01370698967599604,0.0028580105417739254,-0.045524049521601384,2000,1,0,0,0,0,0
2000-02-01,0.034060241511148705,0.010799449951691941,0.00022231529470298185,0.006929135063157593,0.029356012161480843,0.010445739192644521,0.002848265888184509,0.007042983841146223,-0.0031774804606415465,0.018180985651288034,-0.008131429965889808,11041.0498046875,1409.280029296875,4051.97998046875,6.617000102996826,23.450000762939453,0.009187811626832243,0.01062781920924527,0.028329940245385377,-0.007499582311522368,-0.060120238642561,2000,2,1,0,0,0,0
2000-02-02,0.006932845569238311,-0.010201871858222277,-0.0012566345715097687,0.0019832604079774857,-0.004018008127683867,-0.006035572488602509,-0.006320401586482227,-0.0071185581760801414,-0.0026024224001177654,0.005104447951299759,0.023198972404729623,11003.2001953125,1409.1199951171875,4073.9599609375,6.5980000495910645,23.1200008392334,-0.0034280806666527885,-0.00011355740261742575,0.005424503717860629,-0.0028713998957256015,-0.014072490958191741,2000,2,2,0,0,0,0
2000-02-03,0.04249766588582323,-0.01505403246278455,-0.0016608308803421285,-0.010122017854750892,0.02038610637533468,-0.0013803441831372887,-0.008790793936076836,0.028680119987021913,0.02081420097722484,0.002821487849673912,0.00523206877504695,11013.4404296875,1424.969970703125,4210.97998046875,6.474999904632568,22.010000228881836,0.0009306596438518611,0.011248137590027962,0.033633128662295286,-0.01864203456108182,-0.048010405279395596,2000,2,3,0,0,0,0
2000-02-04,0.009921620564968137,-0.015097746424039559,0.000408105576017892,-0.0181912833231459,0.0007981173721322704,-0.016161968041933455,-0.007903969976282687,0.023282628250187884,-0.02168089440105997,-0.0015329629460515692,0.0031551240909097333,10963.7998046875,1424.3699951171875,4244.14013671875,6.517000198364258,21.540000915527344,-0.004507276842047436,-0.000421044371651913,0.007874688648201289,0.006486531945991247,-0.02135389861276571,2000,2,4,0,0,0,0
2000-02-07,0.014399171862430015,-1.2421874576840075e-05,0.00028168953956824664,0.008174087954533713,-0.016968828224144486,-0.009324168502823665,-0.023552425016348688,-0.009828192499135876,-0.011043726651977902,-0.010007398176374707,-0.0010044712108907838,10905.7900390625,1424.239990234375,4321.77001953125,6.63100004196167,22.790000915527344,-0.0052910274410700175,-9.127184878798822e-05,0.018291074354702452,0.017492686838650906,0.05803156670708054,2000,2,0,0,0,0,0
2000-02-08,0.02110172925654489,0.02753252780783002,-0.0022583344572099217,-0.013884492344233404,0.01283786491490578,0.027017723450061426,-0.0005251911880796989,-0.025776977668357133,0.0044487144407099,0.011774441454328502,-0.0039128875500200055,10957.599609375,1441.719970703125,4427.5,6.598999977111816,21.25,0.0047506480618944025,0.012273198750635705,0.024464508752415792,-0.004825827876240973,-0.06757353460561322,2000,2,1,0,0,0,0
2000-02-09,-0.007929476233391842,-0.02480702495638216,-0.01897262161194191,-0.029720924039194963,-0.033692861486001105,-0.010613617918320856,-0.021666755339317067,-0.005588972832171277,-0.008171702343398712,0.004801599631935674,-0.013601471442305169,10699.16015625,1411.7099609375,4363.240234375,6.669000148773193,22.899999618530273,-0.023585407601851682,-0.02081542211764542,-0.01451378105590062,0.010607693878491808,0.0776470408720129,2000,2,2,0,0,0,0
2000-02-10,0.043729092170631256,-0.015392948816820151,-0.012731349664539185,0.015961059049995036,-0.017698054546241293,-0.013704814224969372,-0.014692822401378425,-0.00815335320202299,-0.014432099453079172,0.024474065232313352,-0.004263864458273925,10643.6298828125,1416.8299560546875,4485.6298828125,6.656000137329102,23.06999969482422,-0.005190152556512673,0.0036268038470079755,0.028050174151144747,-0.0019493194113188173,0.0074235842413021835,2000,2,3,0,0,0,0
2000-02-11,-0.022678893227194775,-0.0016359553474034616,-0.019376164697742553,-0.019414215519702793,0.00021025714087431757,-0.006529940221020408,-0.02771643968351304,-0.012518985764942037,-0.0051899101576116215,-0.007982829781962991,-0.008995122090613566,10425.2099609375,1387.1199951171875,4395.4501953125,6.620999813079834,24.420000076293945,-0.02052118725282881,-0.02096932014356223,-0.020104130268424503,-0.005258462068378544,0.05851757257598056,2000,2,4,0,0,0,0
2000-02-14,0.01959118543305367,-0.008544365400309029,0.008750925079883854,0.004829529533193433,-0.005105219378467432,-0.006820618289629668,0.018126799703427586,0.009640017417700646,0.0009464102407916175,-0.007318253024672594,-0.017228379024281953,10519.83984375,1389.93994140625,4418.5498046875,6.539000034332275,24.3799991607666,0.009077024171894044,0.0020329505010301396,0.005255345493309083,-0.012384803060342509,-0.001638039123766255,2000,2,0,0,0,0,0
2000-02-15,-0.002149007755630017,0.01336313110515953,0.013963372586254094,0.04501771413068131,-0.013907619023697013,0.013797350365461314,0.035256173342384935,0.031594986926027295,-0.008543503217968974,0.00021467398213706468,0.0005903882488139389,10718.08984375,1402.050048828125,4420.77001953125,6.552000045776367,22.920000076293945,0.018845343935324665,0.008712683952101452,0.0005024759122087552,0.001988073310267069,-0.0598851162727746,2000,2,1,0,0,0,0
2000-02-16,-0.009347779412172052,-0.020180200355051848,-0.0024882493180387166,0.015068628071320422,-0.027588562476151393,-0.02735844182897812,-0.01051399696319275,-0.008980429464763025,-0.006061173962659439,-0.008744520742641482,-0.01947815452359783,10561.41015625,1387.6700439453125,4427.64990234375,6.546999931335449,23.510000228881836,-0.014618247260855366,-0.01025641338184169,0.001556263452318074,-0.000763143224356555,0.02574171686840976,2000,2,2,0,0,0,0
2000-02-17,0.023253192177209846,-0.022964160989418902,-0.007680133165837821,-0.006533067578680121,-0.016773354390438963,-0.026360290930003666,0.01204267867757276,0.001960211448090073,-0.002472041208176112,0.000540899599774311,-0.00400402277646239,10514.5703125,1388.260009765625,4548.919921875,6.568999767303467,23.170000076293945,-0.004434999025417219,0.0004251484874857603,0.027389252132842934,0.0033602926834810365,-0.014461937442697415,2000,2,3,0,0,0,0
2000-02-18,-0.015379073144329503,-0.031003207388699716,-0.03306260708518338,-0.023580527189203157,-0.029472074950543478,-0.005379653935936424,-0.02816786348942559,-0.019336843846974143,-0.013669882006639544,-0.014258320773789163,-0.04718981879723891,10219.51953125,1346.0899658203125,4411.740234375,6.482999801635742,26.0,-0.028061135403625204,-0.030376185763956398,-0.03015654042189786,-0.013091790031076078,0.1221406954850004,2000,2,4,0,0,0,0
2000-02-22,0.003471740951967628,0.013595084739723484,0.018350907067021457,-0.004543890736493153,-0.009457021972799393,0.0036020765477951106,0.027913511027387428,0.013490795289450717,-0.0002594506917794392,-0.0039430127206343535,-0.021430768908143716,10304.83984375,1352.1700439453125,4382.1201171875,6.3420000076293945,25.860000610351562,0.008348759669092098,0.0045168438064202565,-0.006713930470499729,-0.02174915908076558,-0.005384591909555314,2000,2,1,0,0,0,0
2000-02-23,0.030935332364898604,0.006870632726662029,-0.013564246727395387,-0.02641568980442513,0.022277219593769035,-0.01674149951553451,-0.014854310490788902,-0.027921282347626017,-0.008621289054913706,-0.0001875511153386078,0.005364478727403921,10225.73046875,1360.68994140625,4550.330078125,6.427000045776367,23.889999389648438,-0.007676914556608128,0.006300906826835595,0.03838552035069709,0.013402718077060616,-0.07617947309384632,2000,2,2,0,0,0,0
2000-02-24,0.00825223290752789,-0.011283509832623028,-0.030071262467441368,-0.006935119484341057,-0.024950782369570268,-0.015820140291724308,-0.015840089513968092,-0.04375778402038285,-0.03413760026709831,-0.0014397006964049913,-0.03568920748034635,10092.6298828125,1353.4300537109375,4617.64990234375,6.3460001945495605,24.3799991607666,-0.013016242345156415,-0.005335445992795007,0.014794492501187806,-0.01260305751515245,0.02051066486550357,2000,2,3,0,0,0,0
2000-02-25,-0.01851868638035742,-0.01046133389713395,-0.019780870636615218,-0.017616707812134175,-0.0030197592933719625,-0.016468870593011012,-0.0047022498131813915,-0.016058605637850207,-0.014671201454761484,0.0014425855110399843,-0.005790184645003943,9862.1201171875,1333.3599853515625,4590.5,6.341000080108643,25.200000762939453,-0.02283941532598477,-0.01482903996726348,-0.005879593065288402,-0.0007879158978300049,0.033634193207538576,2000,2,4,0,0,0,0
